Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Core Type","Inductance Factor (Al)","Tolerance","Gap","Effective Permeability (µe)","Initial Permeability (µi)","Material","Core Factor (ΣI/A) mm<sup>1</sup>","Effective Length (le) mm","Effective Area (Ae) mm²","Minimum Core Cross Section (Amin) mm²","Effective Magnetic Volume (Ve) mm³","Finish","Supplier Device Package","Height","Length","Width","Diameter"
https://en.tdk.eu/inf/80/db/fer/e_42_21_15.pdf,-,B66325G0000X197-ND,B66325G0000X197,EPCOS (TDK),FERRITE CORE E N97 1PC,0,0,"1.22959","0","416","B66325","Active","E","-","-","Ungapped","-","-","N97","-","-","-","-","-","Uncoated","E 42 x 21 x 15","21.20mm","42.00mm","15.20mm","-"
https://en.tdk.eu/inf/80/db/fer/e_42_21_15.pdf,-,B66325G0000X195-ND,B66325G0000X195,EPCOS (TDK),FERRITE CORE E N95 1PC,0,0,"1.62750","0","208","B66325","Active","E","-","-","Ungapped","-","-","N95","-","-","-","-","-","Uncoated","E 42 x 21 x 15","21.20mm","42.00mm","15.20mm","-"
https://product.tdk.com/info/en/documents/data_sheet/ep_17.pdf,-,B65845J0000Y038-ND,B65845J0000Y038,EPCOS (TDK),FERRITE CORE EP 10.8UH T38 2PCS,0,0,"1.64550","0","200","B65845","Active","EP","10.8µH","-30%, +40%","Ungapped","7220","10000","T38","0.84","28.5","33.9","25.5","966","Uncoated","EP 17","8.50mm","18.40mm","11.25mm","-"
https://product.tdk.com/info/en/documents/data_sheet/ep_17.pdf,-,B65845J0000Y066-ND,B65845J0000Y066,EPCOS (TDK),FERRITE CORE EP 13UH T66 2PCS,0,0,"1.64550","0","200","B65845","Active","EP","13µH","-30%, +40%","Ungapped","8700","13000","T66","0.84","28.5","33.9","25.5","966","Uncoated","EP 17","8.50mm","18.40mm","11.25mm","-"
https://en.tdk.eu/inf/80/db/fer/e_42_21_20.pdf,-,B66329G0000X197-ND,B66329G0000X197,EPCOS (TDK),FERRITE CORE E N97 1PC,0,0,"1.64850","0","120","B66329","Active","E","-","-","Ungapped","-","-","N97","-","-","-","-","-","Uncoated","E 42 x 21 x 20","21.20mm","42.00mm","20.00mm","-"
https://en.tdk.eu/inf/80/db/fer/e_47_20_16.pdf,-,B66383G0000X187-ND,B66383G0000X187,EPCOS (TDK),FERRITE CORE E N87 1PC,0,0,"1.65340","0","300","B66383","Active","E","-","-","Ungapped","-","-","N87","-","-","-","-","-","Uncoated","E 47 x 20 x 16","19.60mm","46.90mm","15.60mm","-"
https://product.tdk.com/info/en/documents/data_sheet/etd_44_22_15.pdf,-,B66365G0000X195-ND,B66365G0000X195,EPCOS (TDK),FERRITE CORE ETD N95 1PC,0,0,"1.77521","0","288","B66365","Active","ETD","-","-","Ungapped","-","-","N95","-","-","-","-","-","Uncoated","ETD 44 x 22 x 15","22.50mm","43.80mm","15.20mm","-"
https://product.tdk.com/info/en/documents/data_sheet/ep_20.pdf,-,B65847A0000Y038-ND,B65847A0000Y038,EPCOS (TDK),FERRITE CORE EP 18.7UH T38 2PCS,0,0,"1.80600","0","200","B65847","Active","EP","18.7µH","-30%, +40%","Ungapped","7630","2300","T38","0.51","40","78","60","3120","Uncoated","EP 20","10.80mm","24.50mm","15.30mm","-"
https://en.tdk.eu/inf/80/db/fer/e_42_21_20.pdf,-,B66329G0000X195-ND,B66329G0000X195,EPCOS (TDK),FERRITE CORE E N95 1PC,0,0,"2.10300","0","120","B66329","Active","E","-","-","Ungapped","-","-","N95","-","-","-","-","-","Uncoated","E 42 x 21 x 20","21.20mm","42.00mm","20.00mm","-"
https://product.tdk.com/info/en/documents/data_sheet/etd_49_25_16.pdf,-,B66367G0000X197-ND,B66367G0000X197,EPCOS (TDK),FERRITE CORE ETD N97 1PC,0,0,"2.61725","0","120","B66367","Active","ETD","-","-","Ungapped","-","-","N97","-","-","-","-","-","Uncoated","ETD 49 x 25 x 16","24.90mm","48.50mm","16.70mm","-"
https://en.tdk.eu/inf/80/db/fer/e_56_24_19.pdf,-,B66385G0000X187-ND,B66385G0000X187,EPCOS (TDK),FERRITE CORE E N87 1PC,0,0,"2.82023","0","216","B66385","Active","E","-","-","Ungapped","-","-","N87","-","-","-","-","-","Uncoated","E 56 x 24 x 19","23.60mm","56.10mm","18.80mm","-"
https://en.tdk.eu/inf/80/db/fer/e_55_28_21.pdf,-,B66335G0000X197-ND,B66335G0000X197,EPCOS (TDK),FERRITE CORE E N97 1PC,0,0,"3.31176","0","108","B66335","Active","E","-","-","Ungapped","-","-","N97","-","-","-","-","-","Uncoated","E 55 x 28 x 21","27.80mm","55.00mm","21.00mm","-"
-,-,B66894G0000X187-ND,B66894G0000X187,EPCOS (TDK),FERRITE CORES,0,0,"19.36000","0","16","*","Active","E","-","-20%, +30%","Ungapped","1930","-","N87","0.373","274","735","690","201390","Uncoated","E 100/60/28","59.40mm","100.30mm","27.50mm","-"
-,-,B66894G0000X197-ND,B66894G0000X197,EPCOS (TDK),FERRITE CORES,0,0,"20.58000","0","16","*","Active","E","-","-20%, +30%","Ungapped","2020","-","N95","0.373","274","735","690","201390","Uncoated","E 100/60/28","59.40mm","100.30mm","27.50mm","-"
-,-,B66894G0000X195-ND,B66894G0000X195,EPCOS (TDK),FERRITE CORES,0,0,"22.60000","0","16","*","Active","E","-","-20%, +30%","Ungapped","2520","-","N97","0.373","274","735","690","201390","Uncoated","E 100/60/28","59.40mm","100.30mm","27.50mm","-"
https://en.tdk.eu/inf/80/db/fer/e_40_16_12.pdf,-,B66381GX172-ND,B66381GX172,EPCOS (TDK),FERRITE CORE E N72 1PC,0,0,"Active","0","0","B66381","Active","E","-","-","Ungapped","-","-","N72","-","-","-","-","-","Uncoated","E 40 x 16 x 12","16.50mm","40.60mm","12.50mm","-"
https://product.tdk.com/info/en/documents/data_sheet/eq_13.pdf,-,495-75505-ND,B66479G0000X187,EPCOS (TDK),FERRITE CORE EQ N87 1PC,0,0,"Obsolete","0","2000","B66479","Obsolete","EQ","-","-","Ungapped","-","-","N87","-","-","-","-","-","Uncoated","EQ 13 x 3","2.85mm","12.80mm","8.70mm","-"
